Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Mega Millions,ALTA CONVENIENCE #6301,310 W RAINBOW BLVD,SALIDA,81201,1,"$30,000"
Mega Millions,ALTA CONVENIENCE #6315,722 HORIZON DR,GRAND JUNCTION,81506,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #6318,51171 HWY 6 & 24,GLENWOOD SPRINGS,81601,1,"$1,000"
Mega Millions,ALTA CONVENIENCE #6322,420 ROYAL GORGE BLVD,CANON CITY,81212,1,"$1,500"
Mega Millions,ALTA CONVENIENCE #6323,921 E MAIN ST,FLORENCE,81226,1,"$1,500"
Mega Millions,AMPRIDE,220 W DENVER ST,HOLYOKE,80734,2,"$2,000"
Mega Millions,AMRAJ INC,9201 HURON ST,THORNTON,80260,1,"$1,000"
Mega Millions,APPLEWOOD GAS EXPRESS,1995 YOUNGFIELD ST,GOLDEN,80401,2,"$21,500"
Mega Millions,AURORA LIQUORS,"10 S HAVANA ST
STE 101",AURORA,80012,1,"$1,500"
Mega Millions,BEAR VALLEY CONOCO,3097 S SHERIDAN BLVD,DENVER,80227,1,"$2,500"
Mega Millions,BEAVERS SUPERMARKET,1100 W MOUNTAIN AVE,FORT COLLINS,80521,2,"$12,500"
Mega Millions,BEEMAN'S GAS & GROCERY,"5587 N US HIGHWAY 85
UNIT 213",SEDALIA,80135,2,"$2,500"
Mega Millions,BEN THANH ASIAN MARKET,1001 S FEDERAL BLVD,DENVER,80219,1,"$1,000"
Mega Millions,BF SUPER FOODS,60 LAKEVIEW DR,NEDERLAND,80466,1,"$1,500"
Mega Millions,BIG D #51,1000 35TH AVE,GREELEY,80634,1,"$1,000"
Mega Millions,BIG DADDYS SUNSET BOWL,1227 S PRAIRIE AVE,PUEBLO,81005,1,"$1,000"
Mega Millions,BIG 'D' SUPERFOODS,1100 E MAIN ST,FLORENCE,81226,1,"$1,500"
Mega Millions,BJ LIQUORS,4211 E MISSISSIPPI AVE,DENVER,80246,1,"$2,000"
Mega Millions,BONNY HYLAND LIQUOR,1114 BONFORTE BLVD,PUEBLO,81001,1,"$1,500"
Mega Millions,BOOZERS RESERVE LIST,22691 E AURORA PKWY #B1,AURORA,80016,2,"$11,000"
Mega Millions,BORDERLINE #1,68947 US HWY 85,CARR,80612,6,"$10,500"
Mega Millions,BOWMAR'S GAS EXPRESS,5200 S LOWELL BLVD,LITTLETON,80123,1,"$1,000"
Mega Millions,BREAKFAST KING,1100 S SANTA FE,DENVER,80223,1,"$1,500"
Mega Millions,BROADMOOR HEIGHTS CONVENIENCE,2106 W EISENHOWER BLVD,LOVELAND,80537,2,"$3,000"
Mega Millions,CANYON CONVENIENCE,1134 N 12TH STREET,GRAND JUNCTION,81501,1,"$10,000"
Mega Millions,CAT'S CORNER,411 BROADWAY,PENROSE,81240,1,"$1,000"
Mega Millions,CEDAREDGE FOODTOWN,210 SE INDEPENDENCE AVE,CEDAREDGE,81413,2,"$3,000"
Mega Millions,CENTRAL PARK LIQUOR OF STEAMBT,1835 CENTRAL PARK DR,STEAMBOAT SPRINGS,80487,1,"$40,000"
Mega Millions,C & F FOOD STORE #9,2847 NORTH AVE,GRAND JUNCTION,81501,2,"$5,000"
Mega Millions,CHERRY CREEK LIQUOR,13750 E QUINCY AVE,AURORA,80015,1,"$2,500"
Mega Millions,CHRISTIES LIQUOR,228 STEGOSAURUS FREEWAY,DINOSAUR,81610,2,"$2,500"
Mega Millions,CIRCLE K #2703290,411 W FLORIDA AVENUE,DENVER,80223,1,"$2,500"
Mega Millions,CIRCLE K #2703291,6135 N CAREFREE CIRCLE,COLORADO SPRINGS,80922,3,"$5,000"
Mega Millions,CIRCLE K #2709837,5885 CONSTITUTION AVE,COLORADO SPRINGS,80915,1,"$1,500"
Mega Millions,CIRCLE K #2709838,6560 S ACADEMY BLVD,COLORADO SPRINGS,80906,1,"$2,500"
Mega Millions,CIRCLE K #2709840,7055 COMMERCE CNTR DR,COLORADO SPRINGS,80919,1,"$1,500"
Mega Millions,CIRCLE K #2709843,7480 AUSTIN BLUFFS PKWY,COLORADO SPRINGS,80923,1,"$1,000"
Mega Millions,CIRCLE K #2709850,12801 WASHINGTON ST,THORNTON,80241,1,"$2,000"
Mega Millions,CIRCLE K #2709854,1600 S COLORADO BLVD,DENVER,80222,1,"$1,000"
Mega Millions,CIRCLE K #2709855,16070 E 6TH AVE,AURORA,80011,1,"$1,500"
Mega Millions,CIRCLE K #2709858,225 W SOUTH BOULDER RD,LAFAYETTE,80026,1,"$30,000"
Mega Millions,CIRCLE K #2709859,2265 E 120TH AVE,NORTHGLENN,80233,1,"$1,000"
Mega Millions,CIRCLE K #2709860,23 W WOLFENSBERGER,CASTLE ROCK,80109,1,"$2,000"
Mega Millions,CIRCLE K #2709867,3595 S YOSEMITE,DENVER,80237,1,"$1,500"
Mega Millions,CIRCLE K #2709870,3805 KIPLING ST,WHEAT RIDGE,80033,1,"$1,000"
Mega Millions,CIRCLE K #2709871,3805 MAIZELAND,COLORADO SPRINGS,80909,2,"$11,500"
Mega Millions,CIRCLE K #2709872,4200 S PARKER RD,AURORA,80014,2,"$11,000"
Mega Millions,CIRCLE K #2709876,5095 S FEDERAL BLVD,ENGLEWOOD,80110,1,"$1,500"
Mega Millions,CIRCLE K #2709878,7425 E ARAPAHOE,ENGLEWOOD,80112,1,"$1,500"
Mega Millions,CIRCLE K #2709879,7550 S UNIVERSITY BLVD,LITTLETON,80122,1,"$2,000"
Mega Millions,CIRCLE K #2709881,7805 N ACADEMY BLVD,COLORADO SPRINGS,80920,1,"$1,500"
Mega Millions,CIRCLE K #2709884,9207 W JEWELL AVE,DENVER,80232,1,"$2,500"
Mega Millions,CIRCLE K #2709886,9275 S BROADWAY,HIGHLANDS RANCH,80129,1,"$5,000"
Mega Millions,CIRCLE K #2709889,10363 N FEDERAL BLVD,WESTMINSTER,80260,1,"$10,000"
Mega Millions,CIRCLE K #2709892,8663 S QUEBEC ST,LITTLETON,80130,1,"$2,000"
Mega Millions,CIRCLE K #2709894,1240 E 1ST AVE,BROOMFIELD,80020,1,"$1,500"
Mega Millions,CIRCLE K #2709896,22998 E SMOKY HILL RD,AURORA,80016,1,"$1,000"
Mega Millions,CIRCLE K #2709897,210 N ACADEMY BLVD,COLORADO SPRINGS,80909,1,"$2,000"
Mega Millions,CIRCLE K #2709899,2290 S HAVANA ST,AURORA,80014,1,"$1,500"
Mega Millions,CIRCLE K #2709903,595 SUMMIT BLVD,BROOMFIELD,80021,2,"$12,000"
Mega Millions,CIRCLE K #2709904,9356 S COLORADO BLVD,HIGHLANDS RANCH,80126,1,"$1,000"
Mega Millions,CIRCLE K #2740622,6480 S HWY 85/87,FOUNTAIN,80817,2,"$3,000"
Mega Millions,CIRCLE K #2740633,1012 SUMMIT BLVD,FRISCO,80443,2,"$2,000"
Mega Millions,CIRCLE K #2740641,2720 35TH AVE,GREELEY,80634,1,"$15,000"
Mega Millions,CIRCLE K #2740648,8290 N WASHINGTON ST,THORNTON,80229,2,"$22,500"
Mega Millions,CIRCLE K #2740666,94 W WOLFENSBERGER RD,CASTLE ROCK,80109,1,"$1,500"
Mega Millions,CIRCLE K #2740669,5600 E 64TH AVE,COMMERCE CITY,80022,1,"$1,000"
Mega Millions,CIRCLE K #2740675,2715 W COLORADO AVE,COLORADO SPRINGS,80904,1,"$1,000,000"
Mega Millions,CIRCLE K #2740678,1801 MAIN ST,COLORADO SPRINGS,80911,3,"$14,000"
Mega Millions,CIRCLE K #2740687,2455 ARLINGTON DR,COLORADO SPRINGS,80910,2,"$3,500"
Mega Millions,CIRCLE K #2740695,4825 GALLY RD,COLORADO SPRINGS,80915,1,"$2,000"
Mega Millions,CIRCLE K #2741115,11195 HURON ST,NORTHGLENN,80234,1,"$10,000"
Mega Millions,CIRCLE K #2741116,3540 W 92ND AVENUE,WESTMINSTER,80031,4,"$15,000"
Mega Millions,CIRCLE K #2741118,1890 WADSWORTH BLVD,LAKEWOOD,80214,2,"$6,500"
Mega Millions,CIRCLE K #2741119,10098 E ALAMEDA AVE,DENVER,80247,2,"$2,000"
Mega Millions,CIRCLE K #2741120,385 E BROMLEY LN,BRIGHTON,80601,1,"$30,000"
Mega Millions,CIRCLE K #2741125,4780 E BROMLEY LANE,BRIGHTON,80601,1,"$1,000"
Mega Millions,CIRCLE K #2741126,13185 S PARKER ROAD,PARKER,80134,1,"$1,000"
