,store,address,city,zip,number_of_winners_sold,total_amount_won
323,LOVE'S COUNTRY STORES 38,301 E OLIVE ST,LAMAR,81052,1,1220
324,LP STOP,1470 N AIRPORT BLVD,AURORA,80011,1,1211
325,MACS LIQUOR STORE,1005 5TH ST,CALHAN,80808,1,1692
326,MARKET STREET MART,165 N MARKET ST,KEENESBURG,80643,1,1261
327,MAVERIK #400,1103 E US HWY 50,FRUITA,81521,1,1058
328,MAVERIK #544,11160 COLORADO BLVD,THORNTON,80233,1,1250
329,MAVERIK #579,21800 E QUINCY AVE,AURORA,80015,1,1250
330,MAVERIK #609,107 LAURA WAY,DACONO,80514,1,1200
331,MIDNIGHT LIQUORS,1020 11TH STREET,GREELEY,80631,1,1032
332,MOUNTAIN DEW LIQUOR,182 S ST VRAIN AVE,ESTES PARK,80517,1,1375
333,MURPHY EXPRESS #8732,14375 LINCOLN ST,THORNTON,80023,2,2216
334,MURPHY EXPRESS #8796,2336 LEGACY CIR,ELIZABETH,80107,1,1004
335,MURPHY USA #7491,4620 W 121ST AVE,BROOMFIELD,80020,1,900000
336,MY GOODS MARKET #6529,191 S MCCASLIN BLVD,SUPERIOR,80027,1,1250
337,MY GOODS MARKET #6536,12780 COLORADO BLVD,THORNTON,80241,2,1066730
338,MY GOODS MARKET #6538,290 N HWY 287,LAFAYETTE,80026,1,1000
339,MY GOODS MARKET #6543,4400 CHAMBERS RD,DENVER,80239,1,1097
340,NATIONAL ESSENTIALS,2274 S OLIVE ST,DENVER,80224,1,1468
341,NEW BOULDER GAS,2995 28TH ST,BOULDER,80301,1,1000
342,NORTH MURRAY GAS,943 N MURRAY BLVD,COLORADO SPRINGS,80915,1,1306
343,OLIVE STREET STATION,403 E OLIVE ST,LAMAR,81052,1,1250
344,OUTBACK LIQUORS,113 ELIZABETH ST,ELIZABETH,80107,1,1137
345,PARS GAS & FOOD,5500 ARAPAHOE AVE,BOULDER,80303,1,1219
346,PDS STORE,14490 E 6TH AVE,AURORA,80011,1,1404
347,PHILLIPS 66 FOOD PLAZA,1301 E MAIN ST,MONTROSE,81401,2,2548960
348,PUEBLO WEST KWIK STOP,101 S MCCULLOCH BLVD,PUEBLO WEST,81007,1,1250
349,PUMP SHOP N SAVE,"5500 S SIMMS ST
STE A",LITTLETON,80127,2,3309
350,PYRAMID DISCOUNT LIQUORS LLC,599 W LITTLETON BLVD,LITTLETON,80120,1,1243
351,RIDGWAY CONOCO,140 HWY 550,RIDGWAY,81432,2,6181929
352,RIDLEYS FAMILY MKTS-GYPSUM,210 CRESTWOOD DRIVE,GYPSUM,81637,1,1000
353,RIVON GAS,4140 S US HIGHWAY 85 87,COLORADO SPRINGS,80911,1,1000
354,ROYAL LIQUOR,7735 WADSWORTH BLVD #21,ARVADA,80003,1,1028
355,SAFEWAY #2812,910 W CHERRY ST,LOUISVILLE,80027,1,1250
356,SAFEWAY #3836,"200 QUEBEC ST
BLDG 400",DENVER,80230,1,1556
357,SAFEWAY #841,1200 S BUCKLEY RD,AURORA,80017,1,1140
358,SAFEWAY #885,323 S BROADWAY,DENVER,80209,1,1000
359,SAFEWAY #897,2512 BROADWAY,GRAND JUNCTION,81507,1,1000
360,SAFEWAY FUEL CENTER #4603,1121 E 17TH AVENUE,LONGMONT,80504,1,1250
361,SAFEWAY FUEL CENTER 920,451 E WONDER VIEW AVE,ESTES PARK,80517,1,1250
362,SAFEWAY FUEL MINI C-1267,6460 E YALE AVE UNIT 7,DENVER,80222,1,1250
363,SAFEWAY FUEL MINI C-1998,7561 W 80TH AVE,ARVADA,80003,1,1250
364,SAFEWAY FUEL MINI C-344,9180 W COLFAX,LAKEWOOD,80215,1,1201
365,SAFEWAY FUEL MINI C-4604,20123 E SMOKY HILL RD,CENTENNIAL,80015,1,2350
366,SAFEWAY STORES INC #0027,5025 S KIPLING PKWY,LITTLETON,80127,1,2800000
367,SAFEWAY STORES INC #0041,13111 W ALAMEDA PKWY,LAKEWOOD,80228,1,1364
368,SAFEWAY STORES INC #0322,1701 JACKSON ST,GOLDEN,80401,1,757248
369,SAFEWAY STORES INC #1267,6460 E YALE AVE UNIT 7,DENVER,80222,2,3000
370,SAFEWAY STORES INC #1446,11051 S PARKER RD,PARKER,80134,2,2125
371,SAFEWAY STORES INC #1463,2150 S DOWNING ST,DENVER,80210,1,1500
372,SAFEWAY STORES INC #1466,1121 N CIRCLE DR,COLORADO SPRINGS,80909,2,2158
373,SAFEWAY STORES INC #1479,3900 WADSWORTH BLVD,WHEAT RIDGE,80033,1,1022
374,SAFEWAY STORES INC #1532,220 S ELIZABETH ST,ELIZABETH,80107,1,1200
375,SAFEWAY STORES INC #1578,1101 E US HWY 24,WOODLAND PARK,80863,1,1204
376,SAFEWAY STORES INC #1599,12442 W KEN CARYL AVE,LITTLETON,80127,2,3118
377,SAFEWAY STORES INC #1614,560 CORONA ST,DENVER,80218,1,2028
378,SAFEWAY STORES INC #1656,1601 COALTON RD,SUPERIOR,80027,1,1000
379,SAFEWAY STORES INC #1792,1425 S MURRAY BLVD,COLORADO SPRINGS,80916,1,1028
380,SAFEWAY STORES INC #1873,771 THORNTON PKWY,THORNTON,80229,1,1984
381,SAFEWAY STORES INC #1975,6925 MESA RIDGE PKWY,FOUNTAIN,80817,1,1083
382,SAFEWAY STORES INC #2246,757 E 20TH AVE,DENVER,80205,1,1489
383,SAFEWAY STORES INC #2341,620 W PLATTE AVE,FORT MORGAN,80701,1,1486109
384,SAFEWAY STORES INC #2714,6220 E 14TH AVE,DENVER,80220,1,1075
385,SAFEWAY STORES INC #2791,181 W MINERAL,LITTLETON,80120,1,1250
386,SAFEWAY STORES INC #2792,27152 MAIN ST,CONIFER,80433,3,3276
387,SAFEWAY STORES INC #2915,860 CLEVELAND AVE,LOVELAND,80537,1,1075
388,SAFEWAY STORES INC #2917,1605 E BRIDGE ST,BRIGHTON,80601,1,1007
389,SANDY'S #1,1500 E MULBERRY ST,FORT COLLINS,80524,1,3601417
390,SCHRADER CNTRY STORE #160,1601 S COLLEGE AVE,FORT COLLINS,80525,2,1250
391,SCHRADER CNTRY STORE #270,3531 S SHIELDS,FORT COLLINS,80526,1,1250
392,SCHRADER CNTRY STORE #460,429 S MASON ST,FORT COLLINS,80524,1,3384
393,SEVEN STAR LIQUOR MART,"390 S WILCOX ST
STE F",CASTLE ROCK,80104,1,1000
394,SHAMROCK MISSISSIPPI,2000 W MISSISSIPPI AVE,DENVER,80223,3,2881609
395,SHELL #020,5901 S UNIVERSITY BLVD,LITTLETON,80121,1,1090
396,SHELL #151,5860 S KIPLING,LITTLETON,80127,1,1682
397,SHELL #185,1201 BONFORTE BLVD,PUEBLO,81001,1,1500
398,SHELL #186,7970 WADSWORTH BLVD,ARVADA,80003,1,1907759
399,SHELL #244,3385 S TOWER RD,AURORA,80013,1,1219
400,SHELL #249,11203 W COLFAX AVE,LAKEWOOD,80215,2,2424
401,SHELL AT CONIFER STREET,1037 CONIFER STREET,FORT COLLINS,80524,1,1000
402,SHORTSTOP TABLE MESA,4742 TABLE MESA DR,BOULDER,80305,1,1000
403,SMOKER FRIENDLY #132,3925-B EAST 120TH,THORNTON,80233,1,1132
404,SMOKER FRIENDLY #152,13700 E ALAMEDA #B,AURORA,80012,1,1250
405,SMOKER FRIENDLY #157,40 E VICTORY WY,CRAIG,81625,1,1177811
406,SMOKER FRIENDLY #163,"7705 WADSWORTH BLVD
UNIT H",ARVADA,80003,1,1138
407,SMOKER FRIENDLY #180,1525 GREENWOOD AVE,CANON CITY,81212,1,1000
408,SOCIETY CONOCO,100 SOCIETY DR,TELLURIDE,81435,1,1285
409,SOUTHSIDE STATION,905 WEISS DR  UNIT A,STEAMBOAT SPRINGS,80487,1,1013
410,SPEEDWAY #9494,2537 EAGLE DR,PAGOSA SPRINGS,81147,2,5200000
411,SPEEDWAY #9495,20453 HWY 160,DURANGO,81301,1,1500
412,STINKER STORE #328,1700 N MAIN ST,LONGMONT,80501,1,1500
413,STINKER STORE #334,15291 E COLFAX AVE,AURORA,80011,1,1200
414,SUNDANCE DRUG & LIQUOR,16 KEARNS RD,SNOWMASS VILLAGE,81615,2,2299
415,SUPER QUIK STOP,1580 W 84TH AVENUE,DENVER,80260,1,1032
416,T3 GAS & LIQUORS,508 W BASELINE ROAD,LAFAYETTE,80026,1,1216
417,TEMPO MINI MART,20800 HWY 160,DURANGO,81303,1,1000
418,THE CORNER MARKET,9181 SPRUCE MOUNTAIN RD,LARKSPUR,80118,1,1000
419,THOMPSON RANCH CONVENIENCE,4810 LARIMER PARKWAY,JOHNSTOWN,80534,1,1243
420,THREE SEVEN CORNER MART,8950 E COLFAX AVE,AURORA,80010,1,1250
421,TOWER LIQUORS,"18611 GREEN VALLEY RANCH BLVD
UNIT 110",DENVER,80249,1,1458804
422,T&R LIQUOR STORE,9697 MONTVIEW BLVD,AURORA,80010,1,1250
423,USA FOOD & GAS,1720 E 112TH AVE,NORTHGLENN,80233,1,1068
424,VILLA PARK MINI MART,1000 KNOX CT,DENVER,80204,1,1193
425,WALMART #3128 NHM,1442 S PARKER RD,DENVER,80231,1,1000
426,WALMART #5828 NHM,2730 S PRAIRIE AVE,PUEBLO,81005,1,1000
427,WATERWAY GAS & WASH #45,16330 E ARAPAHOE RD,FOXFIELD,80016,2,2333
428,WESTLAKE WINE & SPIRITS,2024 35TH AVENUE,GREELEY,80634,1,1095
429,WINDSOR ZOOM MART,401 MAIN,WINDSOR,80550,1,1004
430,YENA CORPORATION,401 S CIRCLE DR,COLORADO SPRINGS,80910,1,1500
