,address,city,zip,latitude,longitude,number,street,county,country,population_count,coordinance
131,4797 S WADSWORTH BLVD,LITTLETON,80123,39.631671999999995,-105.081943,4797,S Wadsworth Blvd,Denver County,US,1142.0,"(39.631671999999995, -105.081943)"
132,575 S HOVER STREET,LONGMONT,80501,40.153984,-105.131289,575,S Hover St,Boulder County,US,639.0,"(40.153984, -105.131289)"
133,34 CENTENNIAL BLVD,HIGHLANDS RANCH,80129,39.561926,-104.987352,34,Centennial Blvd,Douglas County,US,1169.0,"(39.561926, -104.987352)"
134,18565 SMOKY HILL RD,CENTENNIAL,80015,39.618307,-104.770882,18565,E Smoky Hill Rd,Arapahoe County,US,1332.0,"(39.618307, -104.770882)"
135,9180 W 88TH AVE,WESTMINSTER,80005,39.855962,-105.100242,9180,W 88th Ave,Jefferson County,US,2187.0,"(39.855962, -105.100242)"
136,5390 W 112TH AVE,WESTMINSTER,80020,39.899356,-105.054432,5390,W 112th Ave,Jefferson County,US,1110.0,"(39.899356, -105.054432)"
137,9945 S OSWEGO ST,PARKER,80134,39.535659,-104.8524,9945,S Oswego St,Douglas County,US,4240.0,"(39.535659, -104.8524)"
138,6220 S GUN CLUB ROAD,AURORA,80016,39.602746,-104.716256,6220,S Gun Club Rd,Arapahoe County,US,6582.0,"(39.602746, -104.716256)"
139,1110 S BUCKLEY RD,AURORA,80017,39.696196,-104.78918,1110,S Buckley Rd,Arapahoe County,US,2124.0,"(39.696196, -104.78918)"
140,5601 N QUEBEC STREET,COMMERCE CITY,80022,39.798984000000004,-104.90406599999999,5601,Quebec St,Adams County,US,1290.0,"(39.798984000000004, -104.90406599999999)"
141,1001 N BROADWAY,DENVER,80203,39.732328,-104.98801999999999,1001,N Broadway,Denver County,US,2202.0,"(39.732328, -104.98801999999999)"
142,8263 S QUEBEC,ENGLEWOOD,80112,39.566441,-104.90583899999999,8263,S Quebec St,Arapahoe County,US,2030.0,"(39.566441, -104.90583899999999)"
143,2119 GRAND AVE,GLENWOOD SPRINGS,81601,39.530587,-107.32572900000001,2119,Grand Ave,Garfield County,US,828.0,"(39.530587, -107.32572900000001)"
144,1599 W LITTLETON BLVD,LITTLETON,80120,39.613584,-105.00638799999999,1599,W Littleton Blvd,Arapahoe County,US,1391.0,"(39.613584, -105.00638799999999)"
