Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Pick 3,7-ELEVEN #24079B,8250 W COAL MINE AVE,LITTLETON,80123,12,"$4,740"
Pick 3,7-ELEVEN #24116A,1585 S BROADWAY,DENVER,80210,8,"$2,240"
Pick 3,7-ELEVEN #24165B,9201 FEDERAL BLVD,DENVER,80260,8,"$2,700"
Pick 3,7-ELEVEN #24359A,2410 S UNIVERSITY BLVD,DENVER,80210,4,"$1,160"
Pick 3,7-ELEVEN #24398A,3306 E FOUNTAIN,COLORADO SPRINGS,80910,31,"$10,580"
Pick 3,7-ELEVEN #24438A,995 N CIRCLE,COLORADO SPRINGS,80909,49,"$20,480"
Pick 3,7-ELEVEN #24460B,510 SECURITY BLVD,COLORADO SPRINGS,80911,128,"$47,540"
Pick 3,7-ELEVEN #24627A,580 JOSEPHINE,DENVER,80206,12,"$3,560"
Pick 3,7-ELEVEN #24856A,1066 E 88TH AVE,THORNTON,80229,12,"$4,390"
Pick 3,7-ELEVEN #25028,1490 PERRY ST,DENVER,80204,18,"$7,440"
Pick 3,7-ELEVEN #25052B,890 S FEDERAL,DENVER,80219,18,"$5,900"
Pick 3,7-ELEVEN #25069A,4708 WASHINGTON ST,DENVER,80216,19,"$9,680"
Pick 3,7-ELEVEN #25187A,595 HAVANA ST,AURORA,80010,24,"$8,320"
Pick 3,7-ELEVEN #25265A,201 W FILLMORE,COLORADO SPRINGS,80907,36,"$19,530"
Pick 3,7-ELEVEN #25290B,4543 BOARDWALK DR,FORT COLLINS,80525,5,"$1,700"
Pick 3,7-ELEVEN #25325B,12057 PECOS ST,WESTMINSTER,80234,14,"$5,830"
Pick 3,7-ELEVEN #25476A,1650 MAIN ST,LONGMONT,80501,13,"$5,710"
Pick 3,7-ELEVEN #25550A,12880 ALLBROOK DR,DENVER,80239,63,"$38,900"
Pick 3,7-ELEVEN #25581B,16400 S GOLDEN RD,GOLDEN,80401,14,"$4,890"
Pick 3,7-ELEVEN #25582A,1103 YOSEMITE,DENVER,80220,29,"$11,490"
Pick 3,7-ELEVEN #25684A,2540 W 10TH ST,GREELEY,80631,6,"$2,020"
Pick 3,7-ELEVEN #25718B,2220 S PEORIA,AURORA,80014,28,"$8,820"
