Game,Store,Address,City,ZIP,Number of winners sold,Total amount won
Cash 5,CIRCLE K #2744080,990 S MONACO,DENVER,80224,1,"$20,000"
Cash 5,CIRCLE K #2744085,5455 E COLFAX,DENVER,80220,1,"$20,000"
Cash 5,CIRCLE K #2744098,4596 S BROADWAY,ENGLEWOOD,80113,1,"$20,003"
Cash 5,CIRCLE K #2744109,101 DENVER AVE,FORT LUPTON,80621,1,"$20,000"
Cash 5,CIRCLE K #2744115,599 29 1/2 RD,GRAND JUNCTION,81504,3,"$40,200"
Cash 5,CIRCLE K #2744118,2020 E COUNTY LINE RD,HIGHLANDS RANCH,80126,1,"$20,000"
Cash 5,CIRCLE K #2744126,4490 S KIPLING PKWY,LITTLETON,80127,1,"$20,000"
Cash 5,CIRCLE K #2744137,19302 E PLAZA DR,PARKER,80138,1,"$20,000"
Cash 5,CIRCLE K #2744144,8801 N WASHINGTON,THORNTON,80229,1,$200
Cash 5,CIRCLE K SITE #2703293,5995 DUBLIN BLVD,COLORADO SPRINGS,80923,1,"$20,000"
Cash 5,CIRLCE K #2740696,2190 S PEORIA ST,AURORA,80014,2,"$40,000"
Cash 5,CITY MARKET #401,2770 HWY 50 SOUTH,GRAND JUNCTION,81503,4,"$61,050"
Cash 5,CITY MARKET #405,1410 GRAND AVE,GLENWOOD SPRINGS,81601,1,"$20,000"
Cash 5,CITY MARKET #406,#6 TOWN PLAZA,DURANGO,81301,2,"$40,000"
Cash 5,CITY MARKET #413,135 S PLUM STREET,FRUITA,81521,1,"$20,000"
Cash 5,CITY MARKET #417,1703 FREMONT,CANON CITY,81212,1,$200
Cash 5,CITY MARKET #420,300 US HWY 6,DILLON,80435,2,"$21,005"
Cash 5,CITY MARKET #421,3130 MAIN AVE,DURANGO,81301,1,"$20,000"
Cash 5,CITY MARKET #422 FUEL CENTER,131 MARKET ST,ALAMOSA,81101,1,"$20,000"
Cash 5,CITY MARKET #431,777 GOLD HILL PL S,WOODLAND PARK,80863,1,"$1,005"
Cash 5,CITY MARKET #433,250 E VALLEY RD,EL JEBEL,81623,2,"$40,003"
Cash 5,CITY MARKET #435,1051 HWY 133,CARBONDALE,81623,1,"$20,000"
Cash 5,CITY MARKET #440,16400 S TOWNSEND,MONTROSE,81401,2,"$40,000"
Cash 5,CITY MARKET #442,2109 N FRONTAGE RD,VAIL,81657,1,"$20,000"
Cash 5,CITY MARKET #443,1320 RAILROAD AVE,RIFLE,81650,2,"$40,000"
Cash 5,CITY MARKET #445,165 COUNTRY CENTER DR,PAGOSA SPRINGS,81147,2,"$40,000"
Cash 5,CITY MARKET #446,1001 THOMPSON RD,GRANBY,80446,2,"$40,000"
Cash 5,C&K FOOD & GAS,5251 N PECOS ST,DENVER,80221,1,"$20,000"
Cash 5,COAL MINE GAS EXPRESS,9819 W COAL MINE AVE,LITTLETON,80123,1,$200
Cash 5,COLORADO ONE SHELL,1233 S SHERIDAN BLVD,DENVER,80232,1,"$20,000"
Cash 5,COLUMBINE DISCOUNT WINE & LIQ,7660 S PIERCE ST,LITTLETON,80128,1,$200
Cash 5,CONOCO WATKINS,33105 E COLFAX AVE,WATKINS,80137,1,$200
Cash 5,CRESTED BUTTE GROCERY,500 BELLEVIEW,CRESTED BUTTE,81224,1,"$20,000"
Cash 5,CRVS #1,930 W MAIN,STERLING,80751,2,"$40,000"
Cash 5,DANDY DISCOUNT LIQUORS,12507 E MISSISSIPPI AVE #802,AURORA,80012,1,"$20,000"
Cash 5,DAVIDSONS BEER WINE & SPIRITS,15745 E ARAPAHOE RD,CENTENNIAL,80016,1,$200
Cash 5,DAVIS BROTHERS SERVICE STATION,351 E FIRST ST,AKRON,80720,1,"$20,000"
Cash 5,DAYTONA MART,1411 DAYTON STREET,AURORA,80010,1,"$20,000"
Cash 5,DENO'S COUNTRY STORE,4000 E 100TH AVE,THORNTON,80229,1,"$20,000"
Cash 5,DENVER LIQUOR GALAXY,8970 E HAMPDEN AVENUE,DENVER,80231,1,"$20,000"
Cash 5,DEPEW LIQUORS,"5505 W 20TH AVE
STE 180",EDGEWATER,80214,1,"$20,010"
Cash 5,DIAGONAL CONOCO,2990 DIAGONAL HWY,BOULDER,80301,1,"$20,000"
Cash 5,DISCOUNT GAS & CONVENIENCE,5600 W ALAMEDA AVE,LAKEWOOD,80226,1,$200
Cash 5,DOO-COM STATION,7710 BRIGHTON RD,COMMERCE CITY,80022,1,$200
Cash 5,DUCKETTS MARKET,621 MAIN ST,OURAY,81427,1,"$20,000"
Cash 5,DU CONOCO FOOD STORE,2001 S UNIVERSITY,DENVER,80210,1,"$20,000"
Cash 5,EAST TIN CUP MARKET,17881 W COLFAX AVE,GOLDEN,80401,4,"$40,400"
Cash 5,EATON CONVENIENCE STORE,55 S OAK,EATON,80615,1,"$20,000"
Cash 5,ELDORADO CORNER MARKET,1805 S FOOTHILLS HIGHWAY,BOULDER,80303,1,$200
Cash 5,ELM STREET LIQUOR,201 ELM ST,STERLING,80751,2,"$21,000"
Cash 5,ENGLEWOOD LIQUORS,3531 S LOGAN STREET #K,ENGLEWOOD,80113,1,"$20,000"
Cash 5,EXXON #028,6556 S BROADWAY,LITTLETON,80121,1,"$2,000"
Cash 5,EXXON #114,14491 E COLFAX AVE,AURORA,80011,1,"$20,000"
Cash 5,EXXON #174,506 GARDEN OF GODS RD,COLORADO SPRINGS,80907,1,"$20,000"
Cash 5,EXXON #264,16820 E 6TH AVE,AURORA,80011,4,"$80,000"
Cash 5,FAMILY MARKET,225 MAIN ST,NATURITA,81422,1,"$20,000"
Cash 5,FARMERS COUNTRY MARKET #12,204 S 6TH ST,LAMAR,81052,1,"$20,000"
Cash 5,FAST MARKET #3596,6910 W 120TH AVE,BROOMFIELD,80020,1,"$20,000"
Cash 5,FAST-N-FRIENDLY FOOD #2,138 DEL MAR CIR,AURORA,80011,1,"$20,000"
Cash 5,FISHERS LIQUOR BARN,2438 PATTERSON ROAD,GRAND JUNCTION,81505,1,"$20,000"
Cash 5,FLORIDA MARKET,4393 W FLORIDA AVE,DENVER,80219,3,"$40,200"
Cash 5,FRASER QUICKSTOP,300 EISENHOWER,FRASER,80442,1,$200
Cash 5,FREDERICK TRAVEL CENTER,3768 HWY 52,FREDERICK,80516,2,"$40,000"
Cash 5,GAS 'N FOOD STORE,6215 CARR ST,ARVADA,80004,6,$198
Cash 5,GATEWAY LIQUOR,3055 E HWY 50,CANON CITY,81212,1,"$1,022"
Cash 5,G&E LIQUORS,18680 E ILIFF AVE #D,AURORA,80013,6,"$120,000"
Cash 5,GO-FER FOODS CEDAREDGE,915 S GRAND MESA DR,CEDAREDGE,81413,1,"$20,000"
Cash 5,GOLDEN GATE GAS #73,2395 G RD,GRAND JUNCTION,81505,1,"$20,000"
